DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,LEGS,DURATION,LANDINGS DAY,LANDINGS NIGHT,NIGHT,INSTRUMENT,APPROACHES & TYPE,CROSS COUNTRY,SECOND IN COMMAND,PILOT IN COMMAND,SIMULATED INSTRUMENT,INSTRUCTOR,DUAL,REMARKS,SIMULATOR,SOLO,FLIGHT COST,EXPENSES
5/6/2006,C152,67503,AXH-AXH,1,1.3,1,,,,,,,1.3,,1.3,,,,,,
5/7/2006,C152,67503,AXH-AXH,1,4,11,,,,,,,4,,4,,,,,,
5/9/2006,C152,67503,AXH-LBX-AXH,1,1.3,1,,,,,,,1.3,,1.3,,,,,,
5/10/2006,C172,5013R,AXH-LBX-AXH,1,2.1,12,,,,,,,2.1,,2.1,,,,,,
5/11/2006,C172,5013R,AXH-AXH,1,1.6,2,,,,,,,1.6,,1.6,,,,,,
5/11/2006,C152,67503,AXH-AXH,1,1.4,3,,,,,,,1.4,,1.4,,,,,,
5/12/2006,C172,5013R,AXH-AXH,1,1.7,4,,,,,,,1.7,,1.7,,,,,,
5/15/2006,C152,67503,AXH-AXH,1,1.4,1,,,,,,,1.4,,1.4,,,,,,
5/16/2006,PA28R-200,3023K,AXH-ODO-AXH,1,6.9,2,,,,,6.9,,6.9,,6.9,,,,,,
5/17/2006,C152,67503,AXH-LBX-AXH,1,2,2,,,,4,,,2,,2,,,,,,
5/18/2006,C152,67503,AXH-LBX-SGR-AXH,1,3.7,7,,,,8,,,3.7,,3.7,,,,,,
5/20/2006,C152,67503,AXH-LBX-AXH,1,1.5,2,,,,2,,,1.5,,1.5,,,,,,
5/21/2006,C152,67503,AXH-SGR-AXH,1,1.6,2,,,,,,,1.6,,1.6,,,,,,
5/21/2006,C172,5013R,AXH-SGR-T54-AXH,1,1.4,3,,,,,,,1.4,,1.4,,,,,,
5/21/2006,C172,5013R,AXH-AXH,1,1.4,4,,,,,,,1.4,,1.4,,,,,,
